,eqid,evla,evlo,evdp,sta,stla,stlo,dis,mag
172,20100922020907,20.173,104.893,0.000,MCVB,20.833,104.648,77.4092163882,4.6
173,20101002025236,21.874,101.534,32.800,TTVB,21.466,104.379,297.896031726,4.0
174,20101002025236,21.874,101.534,32.800,TGVB,21.592,103.418,197.391807777,4.0
175,20101002025236,21.874,101.534,32.800,MLVB,22.042,103.154,168.363887132,4.0
176,20101010145100,22.095,101.866,10.000,MLVB,22.042,103.154,133.066757462,3.6
177,20101010145100,22.095,101.866,10.000,TTVB,21.466,104.379,269.060975678,3.6
178,20101010145100,22.095,101.866,10.000,TGVB,21.592,103.418,169.829317052,3.6
179,20101019202149,19.071,105.143,0.000,BGVB,21.290,106.228,270.569572884,4.1
180,20101019202149,19.071,105.143,0.000,TTVB,21.466,104.379,276.895094853,4.1
181,20101019202149,19.071,105.143,0.000,HBVB,20.842,105.328,197.010395322,4.1
182,20101019202149,19.071,105.143,0.000,VIVB,16.650,105.697,274.310480302,4.1
183,20101019202149,19.071,105.143,0.000,MCVB,20.833,104.648,201.824210492,4.1
184,20101019202149,19.071,105.143,0.000,PLVB,20.805,106.628,247.010635399,4.1
185,20101019202149,19.071,105.143,0.000,THVB,19.845,105.784,108.953974179,4.1
186,20101019202149,19.071,105.143,0.000,CCVB,19.057,104.856,30.2469566792,4.1
187,20101109182505,21.792,103.606,15.000,MLVB,22.042,103.154,54.2894294121,3.9
188,20101109182505,21.792,103.606,15.000,CBVB,22.660,106.271,291.075318246,3.9
189,20101109182505,21.792,103.606,15.000,MCVB,20.833,104.648,151.531746565,3.9
190,20101109182505,21.792,103.606,15.000,TGVB,21.592,103.418,29.477188173,3.9
191,20101109182505,21.792,103.606,15.000,MTVB,21.537,106.343,284.688068911,3.9
192,20101109182505,21.792,103.606,15.000,VTVB,22.252,104.899,142.883791066,3.9
193,20101109182505,21.792,103.606,15.000,BCVB,21.885,105.772,224.152964387,3.9
194,20101109182505,21.792,103.606,15.000,HBVB,20.842,105.328,207.317627646,3.9
195,20101109182505,21.792,103.606,15.000,TTVB,21.466,104.379,87.7914046401,3.9
196,20101230185016,20.856,103.395,2.400,THVB,19.845,105.784,273.397933357,4.7
197,20101230185016,20.856,103.395,2.400,BCVB,21.885,105.772,271.570542315,4.7
198,20101230185016,20.856,103.395,2.400,MLVB,22.042,103.154,133.672315854,4.7
199,20101230185016,20.856,103.395,2.400,TTVB,21.466,104.379,122.496834663,4.7
200,20101230185016,20.856,103.395,2.400,VTVB,22.252,104.899,219.453768699,4.7
201,20101230185016,20.856,103.395,2.400,HBVB,20.842,105.328,201.180981003,4.7
202,20101230185016,20.856,103.395,2.400,CCVB,19.057,104.856,251.094310738,4.7
203,20101230185016,20.856,103.395,2.400,MCVB,20.833,104.648,130.433891495,4.7
204,20101230185016,20.856,103.395,2.400,DBVB,21.390,103.018,70.9187576995,4.7
205,20101230185016,20.856,103.395,2.400,BGVB,21.290,106.228,298.295488875,4.7
206,20101230185016,20.856,103.395,2.400,SPVB,22.394,103.842,176.47116815,4.7
207,20101230185016,20.856,103.395,2.400,TGVB,21.592,103.418,81.5248655336,4.7
208,20101230214359,20.842,103.310,2.800,CCVB,19.057,104.856,255.41324562,3.5
209,20101230214359,20.842,103.310,2.800,BCVB,21.885,105.772,280.242904198,3.5
210,20101230214359,20.842,103.310,2.800,SPVB,22.394,103.842,180.456543352,3.5
211,20101230214359,20.842,103.310,2.800,MCVB,20.833,104.648,139.26557031,3.5
212,20101230214359,20.842,103.310,2.800,VTVB,22.252,104.899,226.858119431,3.5
213,20101230214359,20.842,103.310,2.800,TGVB,21.592,103.418,83.7934540585,3.5
214,20101230214359,20.842,103.310,2.800,HBVB,20.842,105.328,210.030899921,3.5
215,20101230214359,20.842,103.310,2.800,MLVB,22.042,103.154,133.84783763,3.5
216,20101230214359,20.842,103.310,2.800,THVB,19.845,105.784,280.916500272,3.5
217,20101230214359,20.842,103.310,2.800,TTVB,21.466,104.379,130.769546297,3.5
218,20101230214359,20.842,103.310,2.800,DBVB,21.390,103.018,67.8347858258,3.5
219,20110123154619,23.127,101.853,10.000,TGVB,21.592,103.418,234.251759459,4.1
220,20110123154619,23.127,101.853,10.000,SPVB,22.394,103.842,219.808893432,4.1
